pentop 03/04/2020 58 4.000000 1030 BP-2
Ecosprin 09/04/2020 64 5.000000 200 RE-2
Neurobion 09/05/2020 94 12.000000 400 BN-2
Bprotin 12/09/2020 220 7.000000 500 RB-2
bprotin 23/01/2021 353 2.000000 1000 RB-2
Protinex 16/09/2020 224 5.000000 234 BP-2
accu 23/04/2021 443 10.000000 2345 RA-3
zpro 16/08/2020 193 40.000000 150 LZ-2
gpry 23/12/2020 322 19.000000 2000 RG-2
tron 30/12/2020 329 12.000000 200 LT-3
wexof 17/09/2020 225 15.000000 300 LW-5
bicol 12/11/2021 646 13.000000 1000 RB-2
